Probe,PROT,DMD_1,DMD_2,DMD_3,DMD_4,DMD_5,DMD_6,DMD_7,DMD_8,DMD_9,DMD_10,DMD_11,DMD_12,NOR_1,NOR_2,NOR_3,NOR_4,NOR_5,NOR_6,NOR_7,NOR_8,NOR_9,NOR_10,NOR_11,NOR_12
32737_at,P15153,302.4,157.5,44.4,55.9,57.6,242.3,86.3,60.6,98.8,38.6,113,172.4,90.5,51.5,70.4,74.2,113.5,60.1,36.3,126,46.8,37.7,76.3,2
32738_at,O75306,3143.2,5151.8,5412.6,4883.3,5604.5,3771,5295.9,5250.2,3524.2,3866.1,5726.6,4283.8,4548.1,3646.8,5641.6,6310.4,3041.7,4746.7,4963,5522.7,4816.5,3659.7,5289.3,250
32739_at,O95394,618.8,714,480.4,443.2,392.7,434.3,645,596.7,626,572.4,432.7,545.3,598.1,521.3,338.8,741.5,511.6,640.6,378.8,788.7,701,775.4,510.9,23.2
32740_at,Q7L804,275.8,401.3,322.2,385.7,446.3,351.8,298.3,532.1,227.7,445.7,369.3,394.3,252.5,320.9,302.1,249.7,365,258.2,505.3,376.5,221.6,346.9,343.6,9.7
32741_at,Q15276,1142,1256.4,942.2,1520.2,996,1619.5,1155.2,2013.8,420.3,809.4,1460.9,938.1,1493.9,746.3,1528,1869.8,1643.5,1099.7,1043,1740.6,1386.5,1801.2,1724.1,36
32742_s_at,Q15276,94.7,308.4,56,299.1,226.2,500.5,324.4,705.7,355.1,140.6,545.4,345.2,930.5,187.4,337.4,685.3,563.2,99.8,299.6,260.3,304.3,511.4,416.8,13.9
32743_at,Q5THJ4,887.5,1074.5,1160.5,2154.6,1845.8,1303.5,1070.7,1655.2,1377.5,2086,1394.1,1474.2,1552.4,1758.1,2078.9,1154.2,1168.6,2283.7,2145.6,851.4,1736.2,2353.5,910.3,43.6
32744_at,P63220,48476.4,47997.1,38445.3,46623.1,43331.3,41349.4,42103.4,34619.3,31975.5,26091.8,38622.6,53287.6,40008,41216,56696.2,30648.6,33732,53150.3,51120,61253.7,46478.1,76279.9,71423.5,1399.7
32745_at,Q9NQ50,2508.9,3465,3568.4,5784.5,4329.5,4537.5,3164.3,4366.8,3496.2,3343,3623.7,3675,4907.2,3454.9,4486.8,4640.1,5660.1,7339.4,4693.5,2881.7,4699.5,5102.9,5206.5,216.2
32746_at,O15519,387.7,305.2,305.6,267.7,268.7,341.1,451.6,387.6,348.2,448.5,492,344.5,851.5,736.3,436.1,737.9,826.7,535.4,312.8,529.5,415.3,475,617.3,17.1
32747_at,P05091,4755,12079.3,4957.9,8229.7,6824,5826.3,6680.6,5121.3,9585.7,9595.4,6694.7,5317.2,20853.5,19964.2,28987.7,24379.7,18301.6,17995.6,17389.8,19550.2,17682.6,17614.1,22178.8,566.4
32748_at,P42677,70578.5,68053.2,57728.2,64801.6,51206.5,54241.3,85708.6,63100.7,52862.7,54275.8,62865.1,69172.1,57513.2,58911.2,84365.9,48272.2,56499.6,78300.9,63222.7,64330.4,63492.5,85571.5,94233.7,1650.4
32749_s_at,P21333,5462,3334,3483.6,3144.7,3075.7,4255.8,5785.7,3742.2,6412.2,3771.4,4522.8,5576.7,3477,2793.2,1990,2119.9,2133.7,2583,2606.3,2971.8,2246.6,1842,2258.2,120.1
32750_r_at,P21333,1396,1281.4,700.2,488.5,472.8,1438.2,1200.6,1463.1,1659.6,1084,1039.2,1512.1,1130.2,231.8,598.5,1416.2,486.7,1355.3,951.6,1043.3,940.1,424.8,980.3,94.3
32751_at,Q12906,1262.4,1114.8,1163.1,1296.5,1727.5,1252.1,1469.4,1333.8,1046.4,1377.6,1158.2,1870.2,922.6,1068.8,1193.6,967.5,862.5,866.8,1334.7,866.8,890.9,882.8,965.3,19.4
32752_at,O95182,5240.8,7346.1,7075.4,7590.6,5580.4,6405.1,6070,7229.8,6894.2,5470.2,6676.8,7952.5,9554.5,7702.6,16490.4,8623.2,7158.1,11246.2,7197,9475.4,8971.6,7274.1,13797.5,355.9
32753_at,Q15393,483.5,414.8,545,530.9,499.8,517.9,343.2,359.7,548.9,411.5,101.2,747.1,272.1,338.6,314.3,267.7,314.3,220.1,271.1,151.9,198.2,333.2,229.2,14.9
32754_at,P06753,22685.1,121023,61374.1,110247.3,75429.9,71557.8,52797.4,92041.6,82767,43328.3,97165.3,105576.4,86781.7,70155.6,161809.1,94554.5,44728.6,111240.4,93131.4,143208.7,97356.2,71655.5,118133.7,2311.4
32755_at,P62736,12453.4,11029.7,7746.6,23114,15545,20805.2,24203.6,11289.5,8300.9,19745.9,33676.1,8763.4,14798,19853,10528.5,12293.8,7231,5181.7,26184.5,4705,11526.8,9486.2,9044.4,1596.5
32756_at,Q13011,23486.9,41872.8,38279,44812.9,48143.1,30753.2,37273.9,27030.9,28696.4,27388.1,41389.6,37894.9,28579.1,45541.4,55407.6,40170.8,22299.6,48863.5,46789.8,53103.8,38470.4,15009.1,37555.3,1299.9
32757_at,P78406,1827.9,1874.5,2038.2,2528.3,2366.8,1933.3,1945.4,1963.7,2773.1,2505.1,1704.3,2532,1530.5,2411.7,1813.4,2036.5,1642.4,1886.1,2650.6,2423.2,1831,1986,1884.5,66.9
32758_g_at,P78406,872.8,1250.5,741,911.9,716.4,878.2,967,869.1,981,1000.7,1209.9,916.3,850.7,1102.2,840.4,1010.4,868.5,1196.7,803.2,1151.3,955.9,965.2,1171.7,31.4
32759_at,!?,226,303.4,47.8,71.6,18.1,137,93.1,69.6,71.1,30.6,288.4,58.1,64,73.1,28.3,59.7,111.1,147.9,90.1,199.5,159.8,45.8,173.1,12.3
32760_at,P04279,42,39.1,53.6,36.9,17.3,26.5,60.3,18.6,85.3,124.1,36.7,25.8,30,46.4,41.2,36.3,58.6,174.5,49.2,45.3,45.5,42.2,93.8,1
32761_at,Q9UQ35,4795.8,5489.8,4687.7,6006.4,4759.3,5744.5,7673.3,5233.2,5083.2,3398.7,4100.4,3543.2,5871.8,7124.3,4811.1,7204.1,10464,7137.9,5895.9,7545.3,5329.4,4156.4,4737.4,76
32762_i_at,!?,419,413.6,286.3,126.8,223.8,576.5,477.2,565.5,256.5,274.7,399.8,380.5,600.9,336.8,402.1,492,661.8,548.8,480.6,265.7,404.6,649.1,746.5,14.1
32763_r_at,Q9H2M9,174.6,80.5,72.8,231.5,25.3,133.9,112.1,300.6,45,42.2,25.7,55.7,166,317.1,265.9,51.7,259.7,45.6,152.6,51.9,114.8,175.5,432.8,2
32764_at,Q9Y646,1054.7,890.2,906.2,762.5,851.3,953.7,659.3,765.1,1170.2,740.4,1008.2,810.6,505.2,740.5,775.9,438.3,136.8,408.6,710.1,1062,730.8,557.6,745.1,28.9
32765_f_at,Q9Y646,1224.4,1420.2,1350.4,542.2,878.2,1370.8,1435.5,929.4,891.6,914.1,1529.1,832.9,1031.7,1084.2,903,868.2,967.2,792.1,511.7,651.7,808.4,692.6,804.9,27
32766_at,P12956,8746.9,8241.6,8397.9,16121.7,14429.1,9643.1,7960.4,13977.4,9996,8703.5,9895.6,11018.4,8477.6,8815,13178.9,8876,9405.6,7651.7,10800.8,12696.9,8770.3,9293,9109.4,512.5
32767_at,Q15468,318.4,413.8,391.7,199.2,211.3,251.9,147.6,150.9,287.5,134.3,255.8,203.9,287.4,277,253.8,255.1,144.9,141.6,210.8,244.1,179.8,155.6,93.1,9.4
32768_at,Q9H7E2,959.9,872.6,1086.8,2012,2397.7,1178,964.9,1656.7,950.4,1436.9,1320.4,818.3,1048.8,1142.2,1328.9,1337.4,1235,1126.8,1257.2,1357.9,1589,1299.5,1898.8,37.7
32769_at,Q8IZQ1,606.9,891.7,1036.9,700.1,1070.7,750.1,715.5,883.5,811.8,1390.1,888.9,959.8,711,734.6,800,853.1,1018,508.6,587.4,452.1,815.9,1158.8,649,38.7
32770_at,O94855,214.8,307.6,200.6,316.8,255.5,264,172.4,314.7,291.9,437.5,265.1,282.7,77.5,212.5,146,180.3,155,145.5,163.3,93.7,123.8,157,219.9,8
32771_at,P02774,16,5.8,11.3,19.1,10,8.5,27,42.2,55.1,13.2,25.5,57.2,7.8,8.1,18.8,6,19.9,6.2,23.8,11.5,19.5,30.9,100.7,1
32772_s_at,P15291,43.9,45.1,37.7,100.2,19,191.5,59,149.6,104.4,38.1,153.3,84.2,111.5,135.6,45.2,71.2,35.9,142.3,16.9,26.4,56,233.1,100,0.7
32773_at,!?,2402.3,1261.4,1394.5,1014.8,366.3,2561.6,1370.6,921.2,1202.9,535.8,784.4,755.8,702.5,761.8,514.4,574.6,258.1,304.6,797.4,1055.1,1207.2,581,251.3,47
32774_at,O95169,6003.6,8753.7,10298.8,13228.2,13171.2,9397.1,8083.3,8330.1,8547.6,9141,8987,11032,10046,10047.5,10326.5,9934.1,6806.1,12136.5,10321.8,8216.6,11007.4,11061.1,14026.7,429.9
32775_r_at,O15162,1126.6,777.7,1383.4,1880.5,2409.2,1629.1,2389,781.6,1922.1,6255.1,1509.4,672,658.8,5922.6,492.2,1514.2,1546.4,454,4523.4,1251.9,766.2,1136.6,819.1,31.8
32776_at,P11234,1265,451.1,1001.4,1080.2,1456.6,1167,1070.3,1400.4,1171.9,1485.8,1521.9,1095.3,850.2,724.1,1029.6,1005.8,783.5,972.2,716.4,1033.2,911.3,769,817.3,28
32777_at,O00258,1947.4,1201.7,1752,1342.8,1720.6,1213.6,1027.1,1132.9,1413.3,1707.4,1280.1,1687.3,1110.4,1165.3,1548,1212.1,1591.3,1253,1003,905.1,1132.9,1361.8,1992.9,54.7
32778_at,Q14643,385.9,228.2,417.9,317,493.5,414,275.3,352.7,482.4,1042.7,383.8,354.8,163.1,441.8,256.3,235.3,123.6,161.9,234.6,212.1,254.5,286.3,144.3,10.1
32779_s_at,Q14643,712.8,900.3,765.7,189.9,499.5,843.3,969.3,549.1,998.7,945,660.9,659.2,604.9,1038.6,87,595.3,473.1,412.8,700.7,663.7,443.3,525.7,100.7,32
32780_at,Q03001,4204.9,7534.3,5730.4,8794,9274.7,9236.1,4450.3,9857.9,6985.3,6095.4,7003.5,7024.7,7554.6,8979.8,7221,7132.1,11212.5,7211.7,8719.9,6697.9,8143.4,7713.8,8326.5,200.3
32781_f_at,Q03001,444.2,1038.5,1132.2,1583.4,1537.2,1437.2,560.5,1605.1,1302.3,1698.4,819.3,1129.6,974.3,1428.6,596.6,1253.9,1554.9,966.7,1217.8,438.9,1158.5,1791.8,1365.4,44.4
32782_r_at,Q03001,92.7,175.7,294.1,157.4,131.5,158.7,31.9,150.4,140.2,117.5,83.4,150.3,77.4,386.4,155,125.7,124.6,84.1,84.5,173.9,45.8,269.8,315.1,3.8
32783_at,P98095,8845.2,6773.8,4435.4,2691.6,3490,5785.2,6344.3,3964.3,6395.7,7047.6,6062.9,7297.6,4245.2,5905.8,5443.8,5944.8,3387.6,4057.8,5849.7,7929.7,6756.9,3994.5,2621.1,222.2
32784_at,Q13523,389.2,564,307.3,480.8,501,471.1,474.1,435.5,710.7,665,389.1,539.5,336.4,690,485.5,360.4,676.8,314.2,537.1,353.8,494.1,879.9,1105.6,13.5
32785_at,Q14152,277.5,333.1,303.2,443.7,489.7,365.8,319.7,308.9,364.4,506.6,310,702.8,473.2,758.1,569,443,766.6,541.2,797.8,378.7,479.8,811.1,654.2,19.3
32786_at,P17275,3167.1,3943.4,1922.6,2896.6,2851.5,3196,8549.3,1067.5,10846.2,8610.3,1097.9,1588.9,2251.6,4244.5,1458.9,3273.2,2278.9,2395.1,5406.9,2516.9,1751,1298.5,1981.4,94.9
32787_at,P21860,3665.3,1837.7,1076.8,1624.4,2797.6,1952.3,1347.7,2257.4,448.2,933.6,1983.5,1381.2,329.2,1236.6,847.5,429.7,638.9,669.5,1157.2,329.2,349,179,71.3,18.4
32788_at,P49792,1275.8,1552.1,1898.7,1791.4,1501.6,1270.8,1524.4,1127.1,1345,1838.1,1491.1,1285,2140.7,2159.4,1516.4,1685.5,1956.4,1403.1,1670.3,1355.3,2177.7,2176.4,1789.8,75.8
32789_at,P52298,786.2,808,807.8,932.2,1573.9,1137.1,611.7,1255.8,826.1,1385,906,1146.5,829.7,612.9,907.3,813.8,1149.3,815,677.9,340,784.3,1175,754.2,16.9
32790_at,P52298,445.6,525,404.4,299.8,432.9,558.9,679.5,411.2,409.6,475.2,637.5,314.9,825.3,402,456.6,801.1,1217.5,574.2,424.1,468.4,477,695.8,732,11.6
32791_at,Q5BJF2,546.3,664.6,371.2,706,661.4,610.2,454.6,553.3,419.2,638,644.7,342.2,861.5,791.9,978.9,602.2,773.1,589.2,457.3,565.3,872.6,562,567.2,15.2
32792_at,O95926,477.5,774.9,847.9,1246.9,1133.6,814.7,730.6,799.8,1303.7,1091.7,778.5,1336.2,867.1,1497,1300.4,1037.5,1395.3,969.8,1814.6,1107.3,760.6,1297.9,984.3,21.9
32793_at,,1168,671.1,1072.4,912.3,1330.5,1133.3,229.6,814.5,867.4,881.1,1065.4,345.5,990.4,1102.1,640.7,1009.8,1107.2,848.1,1043.4,1082.8,1905.6,870.9,1019.2,28.7
32794_g_at,,628.1,272.2,168.9,114.1,135.3,607.3,138.5,186.9,230.5,78.2,93.2,178.7,299.6,153.7,235.8,90,109.4,222.7,116,217.1,200.5,114.2,256.6,6.4
32795_at,,470.7,856.9,735.6,222.2,123,689.8,314.3,445.1,891.1,573.3,237.1,431.4,574,568.5,856,833.6,804.9,642,471.4,464.1,141.6,605.4,685.8,21.9
32796_f_at,P07477 P07478 P35030,33.6,104.6,91.1,66.1,32.2,68.6,36.5,77.3,105.8,54,93.2,93.6,90.1,25.7,91.8,355.1,46.3,67,87.8,36.5,38.2,61.9,92.6,2.7
32797_at,,50.3,125.8,50.9,30.3,9.6,36.4,63.4,51.1,198.9,77.7,58.6,198,24,53.7,38,64.2,122,55.1,60.5,45.5,69,18.2,147.4,2.5
32798_at,P21266,247.9,466.9,565.6,249.3,593.1,342.8,321.5,978.5,474.4,652.3,804.6,515.9,831,195.6,610.5,550.7,231,681.4,291.1,213.7,234,781.3,621.3,27.7
32799_at,O14828,4090.2,3896.5,3689.9,3581.2,4351.4,2823.4,3870.9,5600.1,3214.8,1702.1,3708.7,2535.2,4924.9,2829.4,3058.7,2315.2,4368.7,3057.8,2716.9,4717.5,4616.3,4219.6,3582.5,110.6
327_f_at,P60866,61010.1,59805.9,60886.1,48617.6,41126.6,45730,64741.5,46172.2,53549.3,51929.6,57177.3,66179.9,52310.8,47075.8,83460.2,45387.3,48571.4,75465.2,60129.3,64697.9,55585.4,63434.2,76503.8,2168.5
32800_at,,5192.4,7845.9,8695,7041.3,8408.3,4969.9,6709.4,6517.3,6969.1,6345.6,7651.6,6756.6,10547.4,10124.6,14831.6,9272.8,10247,12254.3,12167.2,16237.7,11010.9,14921.1,12075.5,281.5
32801_at,O15033,1379.3,1432.9,1141.1,1075.3,1300.6,1022.1,1135.4,1105.7,1264.9,1141.6,1167.1,1028.1,1192.9,1536.1,778.7,1186.6,1557.4,988.2,1543.1,980.3,1436.8,1250.3,1065,35.8
32802_at,O60337,779.6,1202.2,509.8,1034.2,1589.6,746.8,1061.3,1080.9,459.8,1201.2,1101.5,785.9,1742.3,900.8,754.5,1427.3,1415,1585.9,603.7,365.4,870.4,1801.5,1787.7,33
32803_at,O95406,5985.8,7088.6,7961.5,8314.9,9598.9,8385.8,5790.8,6625.2,5620.8,8249.1,7290.2,6199.1,5065.4,6346.7,6508.7,6467.2,6985.7,5839,5851.9,2938.5,5368.2,9667.6,6998.2,268.8
32804_at,P52756,2748.9,3558.9,2520.5,2461.7,3258.8,3087.7,3158.2,2732.8,2717.3,2917.6,3248.5,1940.9,2792.5,2829.5,2715.3,3749.3,3644.6,2657.9,3614.3,2527.3,2050.6,1671,2158.1,93.9
32805_at,P52895 Q04828,7242,6872.6,6243.7,4911.4,9628.4,3880.2,3600.6,8605.7,8243.9,11931.8,5301.2,4835.6,4608.5,9958,11926.8,7336.3,7525.7,9185.3,7857,14398.4,3450.7,4410.9,3743.9,568.7
32806_at,B1AH88 P30536,26555.4,18568.9,20722.6,24110.4,30032.8,21930,15961.4,19163.3,19697,25982.1,25153.6,17075.9,8342.8,7719.5,12868,12806.5,7246.5,14110.8,7929,11716.6,12669,13150.2,11131.6,678.2
32807_at,Q8IY47,2293.3,2592.1,4720.9,4178.7,4294.8,3086.4,3131.7,3105.8,2802.6,4908.6,1856.5,5087.7,2912.6,4613.6,3640.4,3273.5,1290.5,3344.4,4436.7,1641.7,4027.7,3604.4,2382.2,123.4
32808_at,P05556,11066.4,12811.2,14057.9,15043.3,18452.4,14657.7,8918.8,12231.8,15046.5,15229.9,14285,13042.4,10054.7,14568.3,13822.2,12383.7,10498.2,9845.5,14506.8,8158.1,11673,14303.2,10359,503.1
32809_at,P17028,958.3,1281,1433.4,2705.8,2274.3,1359.8,692.7,1563.4,1408.9,1450.4,1434.1,1130.8,2093.7,2056,1780.1,1868.1,1170.9,1593.6,2419.6,2882.4,1960.1,2967.6,2499.2,64.1
32810_at,P51580,1619.4,2144.6,3328.8,1886.8,1412.5,1532.8,1764.4,1469.9,2369.6,2238.2,1398.1,1944.5,1814,2842.5,1827.8,1693.1,2560.9,2769.9,1555.9,1739.7,2150.1,2223.7,1572.9,50.8
32811_at,O00159,6417.4,4189.3,5594.8,4657.3,3635.4,4255.9,7341,4351.6,4358.9,4133.2,5188.5,3667.5,5061,5708.2,2913.7,7427.3,9026.3,4654.2,4305.1,6342.5,5335.8,3040.7,4622.5,126.9
32812_at,!?,717.9,964.1,517.1,784.7,778,1096.1,1076.4,938.1,510.8,756.1,1172.2,482.4,1127.3,1116.4,1122.1,1269.5,650.9,1228.1,1015.4,17.6,844.7,1455.1,1444.6,14.9
32813_s_at,Q9BVA0,230.2,169.7,199.5,56.5,86.4,256.7,216.3,583.9,184.6,138.5,118,200.2,95.4,98.7,46.9,194.2,109.4,155.2,129.5,70.1,115.1,326.8,86.7,4.1
32814_at,P09914,3231.6,4610.2,4419.8,5533.2,7512.3,4221.5,5149.7,3734,3357.5,4923.3,3975.2,3374.6,2280.6,4707.8,5419.8,3563.2,1244.3,2982.4,6036.9,4124.9,4100.5,1879.2,2371.4,59.4
32815_at,!?,1031.2,562.4,907.3,1479,531.5,624.2,1169.8,594.2,987,765.5,1381.1,1007.8,804.8,821.2,248.8,496.4,503.1,688.9,584.3,727.3,471.9,1198.2,1033,48
32816_at,O43765,1663.4,2182.9,2447,1848.2,1921.1,1742.1,2741.6,3068.7,2609.2,1739.2,2170.7,2645.8,1997.2,1657.3,2051.4,2390.8,1602.6,2247.4,2056.6,2375.3,1799.1,2204.4,3396,91.2
32817_at,O76054,110.6,96.1,105.3,114.4,71.1,67.5,83.7,66.5,57.7,56,42.6,47.7,109.9,107.9,48,47.8,72.6,79.5,75.4,74.1,58.5,73.7,78.1,2.5
32818_at,P24821,1255.2,624.7,907.3,888.3,964.5,2156.2,352,1696.8,2762.9,2564.5,462.1,876.7,250.9,189.9,173.7,205.3,158.9,40,373.4,203.3,263.3,244.8,497.1,29.7
32819_at,!?,863,620.9,537.8,555.5,600.5,677.1,712.9,559,2080.4,1412.3,604.9,477.9,376.4,616.9,334.2,470.1,525.5,558.7,607.5,418.4,386.8,393.6,577.9,12.3
32820_at,O95628,1839.5,1665.2,2155.4,2726,2524.8,1603.9,1680,2341.1,1921.7,2588.3,1848.1,2314.8,1220.3,2745.4,1929.7,1728.8,2078.9,1927.3,2149.3,1512.4,1882,2360.8,1797.9,68.3
32821_at,P80188,72.6,402.3,253.6,137.1,105,163.3,233.8,168.6,228.7,45.2,242,370.6,268.8,182.2,406.4,273.2,160.9,237.5,146.6,338.9,159.6,158.8,206.5,13.6
32822_at,P12235,18157.8,33255.2,42097.2,44683.5,38458.6,33967.1,36557.1,28323.7,28061.6,31962,34604.7,36190.3,43595.1,38866.4,48108.8,40126.5,32367.6,48113,38548.9,30045.8,44317.5,52897.4,45489,1718.9
32823_at,Q9H270,1350.6,727.1,817.9,1469.6,1357.2,705.2,1455.4,817.3,726.9,1009.1,1128.8,1129,1044.9,1332,1849.7,1272.1,1002.8,1414.5,823.2,1717.1,1063.5,1125.2,1475.4,39.8
32824_at,O14773 Q12962,1258.9,1577.1,1317.5,1806.2,2000,1594.5,1111.2,1852.9,1736.9,1437.9,1106.4,858,766.4,1033.6,853.8,672.2,1058.1,639.7,1077.2,673.3,975.5,600.4,821.8,41.2
32825_at,C9JUS6 Q99873,10520.8,11477.9,11195.8,14780.4,15680.1,13900.6,10059.3,12557.5,9411.4,13766.7,13043.9,11692.3,7214.1,10202.6,9716.2,10346.2,12845.4,10322,10224.9,4700.9,7149,15898.7,14162.1,237
32826_at,P49961,938.6,292,430.8,592.4,444.6,611.5,573,462,401.3,637.2,393.8,730.8,312.5,478.8,707.8,577.2,379.7,238.3,553.7,635.1,493.6,45.1,333.1,28.8
32827_at,P62070,1764.3,2163.6,2948.1,4115.4,3588.4,3045.7,2095.6,5517.9,4761.9,3407.4,2789.6,4764.4,2695,2044.7,2100.2,2538.5,3631.8,3158.9,2286.7,1363.7,1921.6,3686.7,5111.6,99.4
32828_at,O14874,2188.9,1988.2,1352.4,1721.7,1901.3,2254.5,2028.4,2260.1,1796.9,1293.9,2364.4,1920.1,2106.1,770.6,2810,1567,869.5,1702.2,1429.9,1617.1,2822.6,1277.3,1848.6,59
32829_at,Q99595,345,596,1267.1,398.8,626.8,1175.8,906.1,677.3,706.9,494.6,918.6,1195.2,1261.4,1199.3,1466.1,1434.7,1132.5,1592.9,1002.4,1019.2,1336.3,1163.8,1738.4,40.5
32830_g_at,Q99595,1103.3,761.2,1105.5,808.5,689.9,1306.5,1025.3,1288.7,937.4,1194.4,888.2,1306,1493.9,1187.9,1573,1401,1379.1,1650,1195.8,817.3,1086.4,1434.8,1391.3,63
32831_at,Q99595,828.1,1084.5,837.2,974.6,828.8,665.9,905.7,897.2,954,883.6,646.9,1224.9,1112.5,893.5,1027.9,863.4,887.8,993.2,627.1,934.1,1108.6,1418.7,1496.2,44.1
32832_at,Q7L5Y9,3895.3,3686.2,3043.8,4345.6,5291.2,3565.6,3884.4,5020.6,2958.4,4581.8,4214.8,2968.6,3540.2,3759,3433.8,3670.1,3107,3266.4,5134.4,4866.8,3520.8,3176.1,2886.3,114.6
32833_at,P49759,2908.9,4069.8,1650.2,2702.5,2464.3,1961.3,2426.3,3012.5,1409.4,2537.6,2678,2106.9,2254.4,3657.7,2805.4,3055,2913.5,1941.7,3995.9,3430.6,2550.3,2362.6,2619.8,46
32834_r_at,O14730,173.8,182.9,250.1,71.6,139.4,119.2,159,298.6,229.4,186.9,223.9,84.3,203,274.7,195.9,222.6,267.2,214.5,153.9,94.2,194.1,132.2,260.8,9.1
32835_at,O14730,1374.1,1906.5,2333.5,2103.4,2521.2,1570.4,1470.1,1949.6,1865.7,3508.3,1379.4,2601.4,1711,2066.9,1709.1,1695.2,2717.4,1628.7,1924,1152.1,1336.9,3100.6,2461.5,60.1
32836_at,Q99943,6826.2,5824,6323.2,3762.1,4253.3,5716.7,5805.4,5271.7,5133.5,3342.7,4978.5,5408.5,8546,4504.4,5494.9,6576.5,6797,6773.9,5114.2,6425.5,6714.1,4998.8,5541.3,278.8
32837_at,O15120,3213.3,3363.3,3078.8,2403.6,1841.9,1670.5,2686.1,2945.8,2301.1,2041.6,3168.7,3178.5,2735.5,2036.3,2910.8,3543.6,2647.6,2579.6,2275,3278.1,2276,1236.9,2983.2,130.3
32838_at,P35580,474.7,587.9,957,963.6,966.3,910.6,797.1,1359.1,1700.6,1344.5,772.5,764.4,415.6,506.5,683.4,956.3,251.7,668.4,1241.2,481.6,850.9,634.6,183.2,27
32839_at,Q8IZ21,134.7,84.3,101.9,375,405.1,166,428.3,181.6,221.5,127.6,50.8,439,138.2,394,51.4,24.5,23.6,41.7,236.6,41.8,42.6,304.1,116.6,16.2
32840_at,!?,71.5,503.7,112.2,349.1,184.3,42.9,538.7,196.8,222.5,195,57.3,92.8,311.3,451,79.9,318.1,328.8,278.7,242,183.3,82.5,309.3,61,6.3
32841_at,P62633,5427.7,9224.7,8597.6,14438.2,12592.6,11094,5629.9,10110.2,8150.5,8629.3,9832.3,9522,9218.9,8521.2,11068.9,8162.7,13682.5,8348.5,9777.2,6829.6,8292.9,13819,13571.2,672.5
32842_at,Q4VC05,802.2,1092,761.5,624.7,487.3,574.5,934.1,278.5,708.5,553.7,562,1035.1,775.1,1478.4,1136.4,1825.3,1535.5,1105.3,1538.2,1002.2,1107.4,780.3,1119.7,32.9
32843_s_at,P22087,6394.8,7146.6,6980.3,5073.1,5789.8,7828.1,8851.3,8017.7,5166.6,5302.3,7769.1,7636.6,7932.8,9057,7639.9,9214.5,9952.2,11614,12102.3,13363.9,8572.4,7874.2,9416.4,213.5
32844_at,Q04637,4500.3,3921.9,3329.4,1884.6,2797.3,3706.8,5083.3,3765.6,3872.5,2771.1,3906.7,4773.5,6682.5,2972.7,3332.8,4525.2,6078.4,4954.6,4121,7934.8,3812.8,5306.2,5479.3,225.2
32845_at,P98160,9936.6,10937,8219.4,7452.7,12042.2,10616.1,14032.7,9789,14930.2,10217,14208.4,13226.5,5808.5,4178,6128.1,10466.9,3011.3,7349.5,6155.4,8614.5,7193.9,4382.8,6260.6,180.3
32846_s_at,Q86UP2,3113.3,11244.4,11409.5,15719.8,15506,11510.8,6813.7,12177.3,13610.9,11838.2,14133.4,11564.5,13769.9,14599.9,15243.4,11065.4,18023.8,12075.8,13936.4,10549.4,14626.4,22145.9,20329.6,537.3
32847_at,Q15746,502.3,483.6,515.8,767.2,593.5,676.4,604,1029.2,1017,788.3,475,736.5,272.8,442.1,289.6,234.4,72.9,193.3,760.9,162.8,371.9,113.8,370.4,42.8
32848_at,P43686,1414,1659.3,1436.6,1583.1,1478.3,1401.9,1094.6,1698.8,1475.8,1294.4,1067.5,1589.6,1361.7,1180.2,1580.6,1416.5,2011.9,1542.2,1535.6,1417.2,1326.7,1336.2,1588.6,63.1
32849_at,Q14683,742.2,638.2,754.9,954.4,1299.1,893.4,677.3,784.3,716.3,1539.2,482.7,523.6,587.1,766.9,453.3,740.8,515,376.8,664.5,483.4,830.4,597.9,402.2,23.6
32850_at,P49790,497.1,804,738,1009.3,977.8,1010.2,655,995.4,815.9,1619.5,892.5,853.8,836.5,1414.1,824.8,1468.1,1779.7,750.9,1282.4,580,984.9,1778.3,1821.2,28.6
32851_at,O95319,1063.2,913.8,1592.5,838.6,973.2,1060.3,776.7,996.6,1009.3,1032.2,817.8,971.5,662.8,1189.1,912,865.5,2091.7,833.8,964.2,671.7,770.9,804.9,692.7,30.6
32852_at,Q99757,4918.7,5486.4,4247.9,4734.7,4829.7,3744.7,4263.7,4856,2735.2,3439.6,4957.8,3971.1,5802.9,4148.1,7050.8,7048.9,4012.1,4928.8,3681.9,6582.7,4553.8,3839.3,4507.8,212.5
32853_at,O94826,2673.7,3473.8,5102.4,5542.4,5484.8,4269.8,3116.4,6266.6,4524.1,6078.3,4235,4568.4,5107,4881.1,6876.8,4915.5,4462.8,5629.3,5311.1,3369.3,4577,8107.5,7128.7,251.8
32854_at,Q9UKB1,1107.3,1490.7,1914,2229.1,2451.7,1954.4,1231.2,1916.7,2040.4,3071.9,1447.1,1849.5,2138,2009.4,1594.2,2059.3,2279.9,1968.7,2195,1057.5,2146.5,2849.7,2514.4,58
32855_at,,629.8,270.8,313.7,598.9,739.5,725.5,863.2,607.2,582.8,1228.2,640.6,724.8,575.4,978.2,272.5,448.6,518.5,494.6,868.5,642.6,793.5,355.1,130.8,34.4
32856_at,Q7RTP6,1590.4,2109.3,1956.1,2436.3,1921.2,1554.8,1787.6,1580.7,1027.5,1359,1469.3,1232.4,1623.3,1968.5,1548,2047.6,1579.5,1799.5,1632.2,1661.8,1806.2,1764.6,1804.6,22.2
