Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
302	a	sp|P37802|TAGL2_HUMAN	P37802	TAGL2_HUMAN	TAGLN2	199	26.60	Homo sapiens OX=9606	Transgelin-2 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	6C(57.0215)		
303	a	sp|P38117|ETFB_HUMAN	P38117	ETFB_HUMAN	ETFB	255	19.60	Homo sapiens OX=9606	Electron transfer flavoprotein subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0	12C(57.0215), 7C(57.0215)		
304	a	sp|P38606|VATA_HUMAN	P38606	VATA_HUMAN	ATP6V1A	617	5.80	Homo sapiens OX=9606	V-type proton ATPase catalytic subunit A 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	     0	     0	     0	22C(57.0215), 8C(57.0215)		
305	a	sp|P38646|GRP75_HUMAN	P38646	GRP75_HUMAN	HSPA9	679	24.40	Homo sapiens OX=9606	Stress-70 protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	8	8	12	11	11	     0	     0	     0	14C(57.0215), 1C(57.0215)		
306	a	sp|P38919|IF4A3_HUMAN	P38919	IF4A3_HUMAN	EIF4A3	411	15.10	Homo sapiens OX=9606	Eukaryotic initiation factor 4A-III 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
307	a	sp|P39748|FEN1_HUMAN	P39748	FEN1_HUMAN	FEN1	380	32.60	Homo sapiens OX=9606	Flap endonuclease 1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0	11C(57.0215), 21C(57.0215)		
308	a	sp|P40121|CAPG_HUMAN	P40121	CAPG_HUMAN	CAPG	348	23.60	Homo sapiens OX=9606	Macrophage-capping protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	N-term(42.0106)		
309	a	sp|P40227|TCPZ_HUMAN	P40227	TCPZ_HUMAN	CCT6A	531	16.80	Homo sapiens OX=9606	T-complex protein 1 subunit zeta 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	10C(57.0215), 7C(57.0215)		
310	a	sp|P40261|NNMT_HUMAN	P40261	NNMT_HUMAN	NNMT	264	18.60	Homo sapiens OX=9606	Nicotinamide N-methyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	16C(57.0215)		
311	a	sp|P40925|MDHC_HUMAN	P40925	MDHC_HUMAN	MDH1	334	10.50	Homo sapiens OX=9606	Malate dehydrogenase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
312	a	sp|P40926|MDHM_HUMAN	P40926	MDHM_HUMAN	MDH2	338	15.70	Homo sapiens OX=9606	Malate dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
313	a	sp|P40937|RFC5_HUMAN	P40937	RFC5_HUMAN	RFC5	340	10.30	Homo sapiens OX=9606	Replication factor C subunit 5 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
314	a	sp|P40938|RFC3_HUMAN	P40938	RFC3_HUMAN	RFC3	356	14.00	Homo sapiens OX=9606	Replication factor C subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	10C(57.0215), 17C(57.0215), 5C(57.0215)		
315	a	sp|P40939|ECHA_HUMAN	P40939	ECHA_HUMAN	HADHA	763	10.90	Homo sapiens OX=9606	Trifunctional enzyme subunit alpha, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	10C(57.0215)		
316	a	sp|P41223|BUD31_HUMAN	P41223	BUD31_HUMAN	BUD31	144	20.10	Homo sapiens OX=9606	Protein BUD31 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	4C(57.0215), 7C(57.0215), 9C(57.0215)		
317	a	sp|P41250|GARS_HUMAN	P41250	GARS_HUMAN	GARS1	739	16.50	Homo sapiens OX=9606	Glycine--tRNA ligase 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0	2C(57.0215), 7C(57.0215)		
318	a	sp|P41252|SYIC_HUMAN	P41252	SYIC_HUMAN	IARS1	1262	12.40	Homo sapiens OX=9606	Isoleucine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	9	9	9	     0	     0	     0	13C(57.0215), 5C(57.0215), 6C(57.0215)	Delta:H(4)C(3)(40.031300)	
319	a	sp|P42166|LAP2A_HUMAN	P42166	LAP2A_HUMAN	TMPO	694	16.40	Homo sapiens OX=9606	Lamina-associated polypeptide 2, isoform alpha 	1:Experimental evidence at protein level	1.0000	0.9989	6	3	3	8	3	3	     0	     0	     0	9C(57.0215)		
320	a	sp|P42167|LAP2B_HUMAN	P42167	LAP2B_HUMAN	TMPO	454	28.00	Homo sapiens OX=9606	Lamina-associated polypeptide 2, isoforms beta/gamma 	1:Experimental evidence at protein level	1.0000	0.9990	7	4	7	10	5	10	     0	     0	     0			
321	a	sp|P42285|MTREX_HUMAN	P42285	MTREX_HUMAN	MTREX	1042	4.90	Homo sapiens OX=9606	Exosome RNA helicase MTR4 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	     0	     0	     0	10C(57.0215)		
322	a	sp|P42704|LPPRC_HUMAN	P42704	LPPRC_HUMAN	LRPPRC	1394	11.80	Homo sapiens OX=9606	Leucine-rich PPR motif-containing protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	     0	     0	     0	12C(57.0215), 21C(57.0215)		
323	a	sp|P42765|THIM_HUMAN	P42765	THIM_HUMAN	ACAA2	397	37.80	Homo sapiens OX=9606	3-ketoacyl-CoA thiolase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	8	8	8	     0	     0	     0	13C(57.0215), 17C(57.0215), 2C(57.0215), 9C(57.0215)		
324	a	sp|P43243|MATR3_HUMAN	P43243	MATR3_HUMAN	MATR3	847	21.00	Homo sapiens OX=9606	Matrin-3 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	13	13	13	     0	     0	     0	10C(57.0215), 4C(57.0215), 6C(57.0215), 9C(57.0215)		
325	a	sp|P43246|MSH2_HUMAN	P43246	MSH2_HUMAN	MSH2	934	4.40	Homo sapiens OX=9606	DNA mismatch repair protein Msh2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
326	a	sp|P43307|SSRA_HUMAN	P43307	SSRA_HUMAN	SSR1	286	23.10	Homo sapiens OX=9606	Translocon-associated protein subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
327	a	sp|P43487|RANG_HUMAN	P43487	RANG_HUMAN	RANBP1	201	16.90	Homo sapiens OX=9606	Ran-specific GTPase-activating protein 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
328	a	sp|P43490|NAMPT_HUMAN	P43490	NAMPT_HUMAN	NAMPT	491	16.50	Homo sapiens OX=9606	Nicotinamide phosphoribosyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0			
329	a	sp|P43686|PRS6B_HUMAN	P43686	PRS6B_HUMAN	PSMC4	418	15.10	Homo sapiens OX=9606	26S proteasome regulatory subunit 6B 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
330	a	sp|P45880|VDAC2_HUMAN	P45880	VDAC2_HUMAN	VDAC2	294	28.60	Homo sapiens OX=9606	Voltage-dependent anion-selective channel protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	18C(57.0215), 2C(57.0215)		
331	a	sp|P46063|RECQ1_HUMAN	P46063	RECQ1_HUMAN	RECQL	649	8.20	Homo sapiens OX=9606	ATP-dependent DNA helicase Q1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
332	a	sp|P46087|NOP2_HUMAN	P46087	NOP2_HUMAN	NOP2	812	5.30	Homo sapiens OX=9606	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
333	a	sp|P46777|RL5_HUMAN	P46777	RL5_HUMAN	RPL5	297	27.90	Homo sapiens OX=9606	60S ribosomal protein L5 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	11	11	11	     0	     0	     0	11C(57.0215), 8C(57.0215)	Delta:H(4)C(3)(40.031300)	
334	a	sp|P46778|RL21_HUMAN	P46778	RL21_HUMAN	RPL21	160	16.20	Homo sapiens OX=9606	60S ribosomal protein L21 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
335	a	sp|P46782|RS5_HUMAN	P46782	RS5_HUMAN	RPS5	204	22.50	Homo sapiens OX=9606	40S ribosomal protein S5 	1:Experimental evidence at protein level	1.0000	0.9989	4	4	4	5	5	5	     0	     0	     0	13C(57.0215), 5C(57.0215), 9C(57.0215)		
336	a	sp|P46783|RS10_HUMAN	P46783	RS10_HUMAN	RPS10	165	15.20	Homo sapiens OX=9606	40S ribosomal protein S10 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
337	a	sp|P46940|IQGA1_HUMAN	P46940	IQGA1_HUMAN	IQGAP1	1657	17.30	Homo sapiens OX=9606	Ras GTPase-activating-like protein IQGAP1 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	18	18	18	     0	     0	     0	13C(57.0215), 17C(57.0215)		
338	a	sp|P47756|CAPZB_HUMAN	P47756	CAPZB_HUMAN	CAPZB	277	10.80	Homo sapiens OX=9606	F-actin-capping protein subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	2C(57.0215), 7C(57.0215)		
339	a	sp|P47897|SYQ_HUMAN	P47897	SYQ_HUMAN	QARS1	775	13.30	Homo sapiens OX=9606	Glutamine--tRNA ligase 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0	18C(57.0215)		
340	a	sp|P48047|ATPO_HUMAN	P48047	ATPO_HUMAN	ATP5PO	213	23.50	Homo sapiens OX=9606	ATP synthase subunit O, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
341	a	sp|P48643|TCPE_HUMAN	P48643	TCPE_HUMAN	CCT5	541	18.10	Homo sapiens OX=9606	T-complex protein 1 subunit epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	5	9	6	6	     0	     0	     0	12C(57.0215), 6C(57.0215)	Delta:H(4)C(3)(40.031300)	
342	a	sp|P49257|LMAN1_HUMAN	P49257	LMAN1_HUMAN	LMAN1	510	23.30	Homo sapiens OX=9606	Protein ERGIC-53 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	30C(57.0215)		
343	a	sp|P49321|NASP_HUMAN	P49321	NASP_HUMAN	NASP	788	11.00	Homo sapiens OX=9606	Nuclear autoantigenic sperm protein 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0	10C(57.0215), 11C(57.0215)		
344	a	sp|P49327|FAS_HUMAN	P49327	FAS_HUMAN	FASN	2511	12.20	Homo sapiens OX=9606	Fatty acid synthase 	1:Experimental evidence at protein level	1.0000	0.9990	18	18	18	18	18	18	     0	     0	     0	11C(57.0215), 16C(57.0215), 1C(57.0215), 2C(57.0215), 9C(57.0215)		
345	a	sp|P49368|TCPG_HUMAN	P49368	TCPG_HUMAN	CCT3	545	19.60	Homo sapiens OX=9606	T-complex protein 1 subunit gamma 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0	6C(57.0215)		
346	a	sp|P49411|EFTU_HUMAN	P49411	EFTU_HUMAN	TUFM	452	32.70	Homo sapiens OX=9606	Elongation factor Tu, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	14	14	14	     0	     0	     0	12C(57.0215), 13C(57.0215), 5C(57.0215)	Delta:H(4)C(3)(40.031300)	
347	a	sp|P49419|AL7A1_HUMAN	P49419	AL7A1_HUMAN	ALDH7A1	539	11.10	Homo sapiens OX=9606	Alpha-aminoadipic semialdehyde dehydrogenase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	4C(57.0215)		
348	a	sp|P49588|SYAC_HUMAN	P49588	SYAC_HUMAN	AARS1	968	24.70	Homo sapiens OX=9606	Alanine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	15	15	15	     0	     0	     0	12C(57.0215), 15C(57.0215), 2C(57.0215), 3C(57.0215), 5C(57.0215)		
349	a	sp|P49589|SYCC_HUMAN	P49589	SYCC_HUMAN	CARS1	748	5.60	Homo sapiens OX=9606	Cysteine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	     0	     0	     0			
350	a	sp|P49591|SYSC_HUMAN	P49591	SYSC_HUMAN	SARS1	514	15.20	Homo sapiens OX=9606	Serine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
351	a	sp|P49720|PSB3_HUMAN	P49720	PSB3_HUMAN	PSMB3	205	16.10	Homo sapiens OX=9606	Proteasome subunit beta type-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
352	a	sp|P49736|MCM2_HUMAN	P49736	MCM2_HUMAN	MCM2	904	3.00	Homo sapiens OX=9606	DNA replication licensing factor MCM2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
353	a	sp|P49748|ACADV_HUMAN	P49748	ACADV_HUMAN	ACADVL	655	17.90	Homo sapiens OX=9606	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	7	7	7	     0	     0	     0	11C(57.0215), 19C(57.0215)	Delta:H(4)C(3)(40.031300)	
354	a	sp|P49755|TMEDA_HUMAN	P49755	TMEDA_HUMAN	TMED10	219	15.10	Homo sapiens OX=9606	Transmembrane emp24 domain-containing protein 10 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0			
355	a	sp|P49756|RBM25_HUMAN	P49756	RBM25_HUMAN	RBM25	843	3.60	Homo sapiens OX=9606	RNA-binding protein 25 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
356	a	sp|P49773|HINT1_HUMAN	P49773	HINT1_HUMAN	HINT1	126	46.00	Homo sapiens OX=9606	Histidine triad nucleotide-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	1C(57.0215)		
357	a	sp|P49915|GUAA_HUMAN	P49915	GUAA_HUMAN	GMPS	693	23.80	Homo sapiens OX=9606	GMP synthase [glutamine-hydrolyzing] 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	11	11	11	     0	     0	     0	9C(57.0215)		
358	a	sp|P50213|IDH3A_HUMAN	P50213	IDH3A_HUMAN	IDH3A	366	18.30	Homo sapiens OX=9606	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	11C(57.0215)		
359	a	sp|P50238|CRIP1_HUMAN	P50238	CRIP1_HUMAN	CRIP1	77	36.40	Homo sapiens OX=9606	Cysteine-rich protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	11M(15.9949), 3C(57.0215), 7C(57.0215)	Carbamyl(43.005800)	
360	a	sp|P50402|EMD_HUMAN	P50402	EMD_HUMAN	EMD	254	20.10	Homo sapiens OX=9606	Emerin 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0			
361	a	sp|P50416|CPT1A_HUMAN	P50416	CPT1A_HUMAN	CPT1A	773	3.00	Homo sapiens OX=9606	Carnitine O-palmitoyltransferase 1, liver isoform 	1:Experimental evidence at protein level	1.0000	0.9986	2	2	2	3	3	3	     0	     0	     0	3C(57.0215)		
362	a	sp|P50454|SERPH_HUMAN	P50454	SERPH_HUMAN	SERPINH1	418	30.60	Homo sapiens OX=9606	Serpin H1 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	10	10	10	     0	     0	     0	5C(57.0215)		
363	a	sp|P50552|VASP_HUMAN	P50552	VASP_HUMAN	VASP	380	6.30	Homo sapiens OX=9606	Vasodilator-stimulated phosphoprotein 	1:Experimental evidence at protein level	1.0000	0.9987	2	2	2	2	2	2	     0	     0	     0			
364	a	sp|P50570|DYN2_HUMAN	P50570	DYN2_HUMAN	DNM2	870	4.60	Homo sapiens OX=9606	Dynamin-2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	3	3	3	     0	     0	     0	12C(57.0215)		
365	a	sp|P50914|RL14_HUMAN	P50914	RL14_HUMAN	RPL14	215	11.20	Homo sapiens OX=9606	60S ribosomal protein L14 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
366	a	sp|P50990|TCPQ_HUMAN	P50990	TCPQ_HUMAN	CCT8	548	16.20	Homo sapiens OX=9606	T-complex protein 1 subunit theta 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	10C(57.0215), 11C(57.0215), 16C(57.0215), 9C(57.0215)	Delta:H(4)C(3)(40.031300)	
367	a	sp|P50991|TCPD_HUMAN	P50991	TCPD_HUMAN	CCT4	539	22.10	Homo sapiens OX=9606	T-complex protein 1 subunit delta 	1:Experimental evidence at protein level	1.0000	0.9990	8	7	8	11	8	11	     0	     0	     0	11C(57.0215), 7C(57.0215), 8C(57.0215)		
368	a	sp|P51659|DHB4_HUMAN	P51659	DHB4_HUMAN	HSD17B4	736	8.80	Homo sapiens OX=9606	Peroxisomal multifunctional enzyme type 2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	5C(57.0215)		
369	a	sp|P51665|PSMD7_HUMAN	P51665	PSMD7_HUMAN	PSMD7	324	18.50	Homo sapiens OX=9606	26S proteasome non-ATPase regulatory subunit 7 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0			
370	a	sp|P51858|HDGF_HUMAN	P51858	HDGF_HUMAN	HDGF	240	33.30	Homo sapiens OX=9606	Hepatoma-derived growth factor 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	2C(57.0215)		
371	a	sp|P51970|NDUA8_HUMAN	P51970	NDUA8_HUMAN	NDUFA8	172	7.60	Homo sapiens OX=9606	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	2	2	2	     0	     0	     0			
372	a	sp|P51991|ROA3_HUMAN	P51991	ROA3_HUMAN	HNRNPA3	378	7.40	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein A3 	1:Experimental evidence at protein level	1.0000	0.9936	2	2	2	2	2	2	     0	     0	     0			
373	a	sp|P52209|6PGD_HUMAN	P52209	6PGD_HUMAN	PGD	483	14.50	Homo sapiens OX=9606	6-phosphogluconate dehydrogenase, decarboxylating 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	     0	     0	     0	7C(57.0215), 8C(57.0215)		
374	a	sp|P52272|HNRPM_HUMAN	P52272	HNRPM_HUMAN	HNRNPM	730	12.90	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein M 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
375	a	sp|P52292|IMA1_HUMAN	P52292	IMA1_HUMAN	KPNA2	529	8.30	Homo sapiens OX=9606	Importin subunit alpha-1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	3C(57.0215)		
376	a	sp|P52434|RPAB3_HUMAN	P52434	RPAB3_HUMAN	POLR2H	150	28.70	Homo sapiens OX=9606	DNA-directed RNA polymerases I, II, and III subunit RPABC3 	1:Experimental evidence at protein level	1.0000	0.9986	2	2	2	2	2	2	     0	     0	     0			
377	a	sp|P52565|GDIR1_HUMAN	P52565	GDIR1_HUMAN	ARHGDIA	204	24.00	Homo sapiens OX=9606	Rho GDP-dissociation inhibitor 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0	N-term(42.0106)		
378	a	sp|P52597|HNRPF_HUMAN	P52597	HNRPF_HUMAN	HNRNPF	415	19.50	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein F 	1:Experimental evidence at protein level	1.0000	0.9990	5	3	3	6	3	3	     0	     0	     0			
379	a	sp|P52788|SPSY_HUMAN	P52788	SPSY_HUMAN	SMS	366	11.50	Homo sapiens OX=9606	Spermine synthase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0			
380	a	sp|P53396|ACLY_HUMAN	P53396	ACLY_HUMAN	ACLY	1101	10.70	Homo sapiens OX=9606	ATP-citrate synthase 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	     0	     0	     0			
381	a	sp|P53597|SUCA_HUMAN	P53597	SUCA_HUMAN	SUCLG1	346	15.60	Homo sapiens OX=9606	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
382	a	sp|P53618|COPB_HUMAN	P53618	COPB_HUMAN	COPB1	953	7.30	Homo sapiens OX=9606	Coatomer subunit beta 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	     0	     0	     0			
383	a	sp|P53621|COPA_HUMAN	P53621	COPA_HUMAN	COPA	1224	8.40	Homo sapiens OX=9606	Coatomer subunit alpha 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	6	6	6	     0	     0	     0	6C(57.0215)		
384	a	sp|P54136|SYRC_HUMAN	P54136	SYRC_HUMAN	RARS1	660	8.20	Homo sapiens OX=9606	Arginine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	18C(57.0215)		
385	a	sp|P54577|SYYC_HUMAN	P54577	SYYC_HUMAN	YARS1	528	10.40	Homo sapiens OX=9606	Tyrosine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
386	a	sp|P54819|KAD2_HUMAN	P54819	KAD2_HUMAN	AK2	239	13.80	Homo sapiens OX=9606	Adenylate kinase 2, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	6C(57.0215), 8C(57.0215)		
387	a	sp|P54886|P5CS_HUMAN	P54886	P5CS_HUMAN	ALDH18A1	795	4.80	Homo sapiens OX=9606	Delta-1-pyrroline-5-carboxylate synthase 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0			
388	a	sp|P55060|XPO2_HUMAN	P55060	XPO2_HUMAN	CSE1L	971	6.20	Homo sapiens OX=9606	Exportin-2 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0			
389	a	sp|P55072|TERA_HUMAN	P55072	TERA_HUMAN	VCP	806	28.00	Homo sapiens OX=9606	Transitional endoplasmic reticulum ATPase 	1:Experimental evidence at protein level	1.0000	0.9990	13	13	13	14	14	14	     0	     0	     0	10C(57.0215), 20C(57.0215), 26C(57.0215), 5C(57.0215)		
390	a	sp|P55084|ECHB_HUMAN	P55084	ECHB_HUMAN	HADHB	474	9.70	Homo sapiens OX=9606	Trifunctional enzyme subunit beta, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	19C(57.0215)		
391	a	sp|P55209|NP1L1_HUMAN	P55209	NP1L1_HUMAN	NAP1L1	391	29.70	Homo sapiens OX=9606	Nucleosome assembly protein 1-like 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	6	5	6	     0	     0	     0	19C(57.0215), 22C(57.0215)		
392	a	sp|P55263|ADK_HUMAN	P55263	ADK_HUMAN	ADK	362	10.20	Homo sapiens OX=9606	Adenosine kinase 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	18C(57.0215)		
393	a	sp|P55265|DSRAD_HUMAN	P55265	DSRAD_HUMAN	ADAR	1226	3.30	Homo sapiens OX=9606	Double-stranded RNA-specific adenosine deaminase 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	     0	     0	     0	7C(57.0215)		
394	a	sp|P55735|SEC13_HUMAN	P55735	SEC13_HUMAN	SEC13	322	24.80	Homo sapiens OX=9606	Protein SEC13 homolog 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	     0	     0	     0	18C(57.0215), 9C(57.0215), N-term(42.0106)		
395	a	sp|P55795|HNRH2_HUMAN	P55795	HNRH2_HUMAN	HNRNPH2	449	20.90	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein H2 	1:Experimental evidence at protein level	1.0000	0.9990	6	2	2	6	2	2	     0	     0	     0			
396	a	sp|P55884|EIF3B_HUMAN	P55884	EIF3B_HUMAN	EIF3B	814	10.10	Homo sapiens OX=9606	Eukaryotic translation initiation factor 3 subunit B 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	6	6	6	     0	     0	     0	14C(57.0215)		
397	a	sp|P56192|SYMC_HUMAN	P56192	SYMC_HUMAN	MARS1	900	15.40	Homo sapiens OX=9606	Methionine--tRNA ligase, cytoplasmic 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	9	9	9	     0	     0	     0	13C(57.0215), 19C(57.0215), 2C(57.0215)		
398	a	sp|P56537|IF6_HUMAN	P56537	IF6_HUMAN	EIF6	245	17.10	Homo sapiens OX=9606	Eukaryotic translation initiation factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	4	4	4	     0	     0	     0			
399	a	sp|P60174|TPIS_HUMAN	P60174	TPIS_HUMAN	TPI1	249	68.70	Homo sapiens OX=9606	Triosephosphate isomerase 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	20	20	20	     0	     0	     0	14C(57.0215), 2C(57.0215), 9C(57.0215)	Carbamyl(43.005800), Cation:Ca[II](37.946900), Cation:Ca[II](37.946900)	
400	a	sp|P60842|IF4A1_HUMAN	P60842	IF4A1_HUMAN	EIF4A1	406	28.10	Homo sapiens OX=9606	Eukaryotic initiation factor 4A-I 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	8	7	8	     0	     0	     0	13C(57.0215), 14M(15.9949), 16C(57.0215)		
